"","Country Name","Country Code","Series Name","Series Code","Year","Value"
"1","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1974 [YR1974]",3574586466.16541
"2","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1975 [YR1975]",3791298145.50642
"3","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1976 [YR1976]",3591319857.31272
"4","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1977 [YR1977]",4104509582.86359
"5","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1978 [YR1978]",2733183856.50224
"6","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1979 [YR1979]",3364611432.24149
"7","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1980 [YR1980]",4024621899.57653
"8","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1981 [YR1981]",4415844155.84416
"9","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1982 [YR1982]",4768765016.81884
"10","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1983 [YR1983]",5167913302.16745
"11","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1984 [YR1984]",6043474842.76729
"12","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1985 [YR1985]",5978460972.01767
"13","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1986 [YR1986]",6405210563.88294
"14","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1987 [YR1987]",6682167119.56522
"15","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1988 [YR1988]",6978371581.26375
"16","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1989 [YR1989]",6987267683.77254
"17","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1990 [YR1990]",8032551173.24014
"18","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1991 [YR1991]",9000362581.58086
"19","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1992 [YR1992]",9703011635.86585
"20","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1993 [YR1993]",10338679635.7616
"21","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1994 [YR1994]",11717604208.8223
"22","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1995 [YR1995]",13029697560.9756
"23","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1996 [YR1996]",13897738375.2488
"24","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1997 [YR1997]",15091913883.7091
"25","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1998 [YR1998]",15794972847.1683
"26","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","1999 [YR1999]",15656327859.5696
"27","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2000 [YR2000]",16330814179.9766
"28","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2001 [YR2001]",15749753804.8344
"29","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2002 [YR2002]",16536535647.0834
"30","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2003 [YR2003]",18881765437.2151
"31","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2004 [YR2004]",20662525941.2985
"32","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2005 [YR2005]",24405791044.7761
"33","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2006 [YR2006]",28279802405.9138
"34","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2007 [YR2007]",32350238760.4239
"35","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2008 [YR2008]",40713826215.0093
"36","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2009 [YR2009]",42066224093.0065
"37","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2010 [YR2010]",58636161081.712
"38","Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","2011 [YR2011]",67753284043.9282
